CATEGORY	PRODUCT_SLUG
skirts	sportmax midi skirt 35
heels	giuseppe zanotti devine crystal
beachwear	todd snyder 5 montauk swim short 20
sneakers	
jumpsuits	everyday ritual ava cotton romper 4
jackets	lemaire designer abstract print blazer
jackets	free people day dream washed kimono 33
boots	moma ankle boots 783
dresses	ganni midi dress 373
tops	lorena antoniazzi knitted polo shirt
t-shirts	polo ralph lauren sport striped rugby shirt
t-shirts	adidas originals adv adventure mountain spray tee 1
tops	nanushka petra top 42
shorts	dsquared2 spray paint cargo shorts
necklaces	lee renee opal diamond necklace silver 1
sneakers	new balance low tops sneakers 2729
sweats	wear by erin andrews navy white st louis cardinals chunky pullover sweatshirt
t-shirts	napapijri polo shirt 1270
sneakers	nike tech hera sneaker 1
dresses	aeron robe asymetrique en maille 1
sunglasses	gucci gg1157s sunglasses 6
knitwear	comme des garcons cut out detail crew neck jumper
sweats	nike wordmark fleece hoody 5
shorts	puma tight shorts 1
flats	chloe marcie slip on embellished loafer flats 1
sweats	moncler embroidered outline logo crew sweat 1
hosiery	mapale embroidered lace mesh teddy 2
t-shirts	silent theory acid tail tee 3 pack 6
boots	paris texas pointed tall boots 5
sweats	roxy that rad weathirt 1
t-shirts	smartwool merino base layer crew 2
necklaces	yvonne leon yvonn 18k wg 010ct pear diam solitaire
jeans	buckle black eleven straight stretch jean 20
knitwear	isabel marant cut out detail ribbed jumper 1
dresses	monki mini dress 3
heels	see by chloe glyn espadrille wedge 6
t-shirts	comme des garcons play comme des garcons play double heart polo
t-shirts	ballantyne short sleeve cotton t shirt 2
rings	cristina junquero sortija rope
shorts	paige anessa short 19
pants	seventy gabardina cotton stretch trousers 2
knitwear	kaya doyou wave haori
dresses	solace london mila asymmetric strapless draped crepe dress
necklaces	ettika true goddess single pearl 18k gold plated chain link necklace
knitwear	maison margiela sweater 3010
knitwear	lululemon athletica waist length crewneck sweater
pants	drole de monsieur le pantalon signature 12
t-shirts	john elliott aanti expo cotton tee
jackets	eileen fisher organic linen cotton blazer 1
lingerie	ciamaritima terrycloth solid color top w sash 1
tops	toteme draped silk cami 3
knitwear	blanc noir huntress hooded open front cardigan 5
sneakers	vans classic slip on sneakers checkerboard 1
belts	versace jeans black yellow logo couture belt
skirts	mirla beane checkerboard midi skirt
jeans	we are bound brooklyn tapered denim jean stone washed black
pants	topshop faux leather high rise peg pants
sneakers	adidas originals ozweego sneakers 323
dresses	asos design curve elasticated back satin slip midi dress
earrings	max stone sterling 26x30x5 mm hoop earrings
jackets	diesel baranco jacket
sneakers	axel arigato marathon sneakers 30
sneakers	gucci gg leather sneaker 6
flats	topshop wide fit lola leather loafers with chain detail
pants	department 5 casual trouser 1774
dresses	cinderella divine cb084 dress 1
